id,Abbreviation,Meaning,Symbol
761,QTA,Shall I cancel telegram number . . .? or Cancel telegram number . . . (to be used in AFS as a Q Code),
762,QTE,True bearing,
763,QTF,"Will you give me the position of my station according to the bearings taken by the D/F stations which you control? or The position of your station according to the bearings taken by the D/F stations that I control was . . . latitude . . . longitude (or other indication of position), class . . . at . . . hours (to be used in radiotelegraphy as a Q Code)",
764,QUAD,Quadrant,
765,QUJ,Will you indicate the TRUE track to reach you? or The TRUE track to reach me is . . . degrees at . . . hours (to be used in radiotelegraphy as a Q Code),
766,. . . R,Right (preceded by runway designation number to identify a parallel runway),
767,R,Rate of turn,
768,R,Red,
769,R . . .,Radial from VOR (followed by three figures),
770,R . . .,Restricted area (followed by identification),
771,R . . .,Runway (followed by figures in METAR/SPECI),
772,R,Received (acknowledgement of receipt) (to be used in AFS as a procedure signal),*
773,RA,Rain,
774,RA,Resolution advisory,
775,RAC,Rules of the air and air traffic services,
776,RAG,Ragged,
777,RAG,Runway arresting gear,
778,RAI,Runway alignment indicator,
779,RAIM,Receiver autonomous integrity monitoring,†
780,RASC,Regional AIS system centre,†
781,RASS,Remote altimeter setting source,
782,RB,Rescue boat,
783,RCA,Reach cruising altitude,
784,RCC,Rescue coordination centre,
785,RCF,Radiocommunication failure (message type designator),
786,RCH,Reach or reaching,
787,RCL,Runway centre line,
788,RCLL,Runway centre line light(s),
789,RCLR,Recleared,
790,RCP,Required communication performance,‡
791,RDH,Reference datum height,
792,RDL,Radial,
793,RDO,Radio,
794,RDOACT,Radioactive,
795,RE,"Recent (used to qualify weather phenomena, e.g. RERA = recent rain)",
796,REC,Receive or receiver,
797,REDL,Runway edge light(s),
798,REF,Reference to . . . or refer to . . .,
799,REG,Registration,
800,RENL,Runway end light(s),
801,REP,Report or reporting or reporting point,
802,REQ,Request or requested,
803,RERTE,Re-route,
804,RESA,Runway end safety area,
805,RF,Constant radius arc to a fix,
806,RFFS,Rescue and fire fighting services,
807,RG,Range (lights),
808,RHC,Right-hand circuit,
809,RIF,Reclearance in flight,
810,RIME,Rime (used in aerodrome warnings),†
811,RL,Report leaving,
812,RLA,Relay to,
813,RLCE,Request level change en route,
814,RLLS,Runway lead-in lighting system,
815,RLNA,Requested level not available,
816,RMK,Remark,
817,RNAV,(to be pronounced “AR-NAV”) Area navigation,†
818,RNG,Radio range,
819,RNP,Required navigation performance,‡
820,ROBEX,Regional OPMET bulletin exchange (scheme),†
821,ROC,Rate of climb,
822,ROD,Rate of descent,
823,RON,Receiving only,
824,RPDS,Reference path data selector,
825,RPI,Radar position indicator,‡
826,RPL,Repetitive flight plan,
827,RPLC,Replace or replaced,
828,RPS,Radar position symbol,
829,RPT,Repeat or I repeat (to be used in AFS as a procedure signal),*
830,RQ,Request (to be used in AFS as a procedure signal),*
831,RQMNTS,Requirements,
832,RQP,Request flight plan (message type designator),
833,RQS,Request supplementary flight plan (message type designator),
834,RR,Report reaching,
835,RRA,"(or RRB, RRC . . . etc., in sequence) Delayed meteorological message (message type designator)",
836,RSC,Rescue sub-centre,
837,RSCD,Runway surface condition,
838,RSP,Responder beacon,
839,RSP,Required surveillance performance,‡
840,RSR,En-route surveillance radar,
841,RSS,Root sum square,
842,RTD,Delayed (used to indicate delayed meteorological message; message type designator),
843,RTE,Route,
844,RTF,Radiotelephone,
845,RTG,Radiotelegraph,
846,RTHL,Runway threshold light(s),
847,RTN,Return or returned or returning,
848,RTODAH,"Rejected take-off distance available, helicopter",
849,RTS,Return to service,
850,RTT,Radioteletypewriter,
851,RTZL,Runway touchdown zone light(s),
852,RUT,Standard regional route transmitting frequencies,
853,RV,Rescue vessel,
854,RVA,Radar vectoring area,
855,RVR,Runway visual range,‡
856,RVSM,Reduced vertical separation minimum [300 m (1 000 ft) between FL 290 and FL 410],‡
857,RWY,Runway,
858,S,South or southern latitude,
859,S . . .,State of the sea (followed by figures in METAR/SPECI),
860,SA,Sand,
861,SALS,Simple approach lighting system,
862,SAN,Sanitary,
863,SAR,Search and rescue,
864,SARPS,Standards and Recommended Practices [ICAO],
865,SAT,Saturday,
866,SATCOM,Satellite communication (used only when referring generally to both voice and data satellite communication or only data satellite communication),†
867,SATVOICE,Satellite voice communication,†
868,SB,Southbound,
869,SBAS,(to be pronounced “ESS-BAS”) Satellite-based augmentation system,†
870,SC,Stratocumulus,
871,SCT,Scattered,
872,SD,Standard deviation,
873,SDBY,Stand by,
874,SDF,Step down fix,
875,SE,South-east,
876,SEA,Sea (used in connection with sea-surface temperature and state of the sea),
877,SEB,South-eastbound,
878,SEC,Seconds,
879,SECN,Section,
880,SECT,Sector,
881,SELCAL,Selective calling system,†
882,SEP,September,
883,SER,Service or servicing or served,
884,SEV,Severe (used to qualify icing and turbulence reports),
885,SFC,Surface,
886,SG,Snow grains,
887,SGL,Signal,
888,SH . . .,"Shower (followed by RA = rain, SN = snow, PL = ice pellets, GR = hail, GS = small hail and/or snow pellets or combinations thereof, e.g. SHRASN = showers of rain and snow)",
889,SHF,Super high frequency [3 000 to 30 000 MHz],
890,SI,International system of units,
891,SID,Standard instrument departure,†
892,SIF,Selective identification feature,
893,SIG,Significant,
894,SIGMET,Information concerning en-route weather and other phenomena in the atmosphere that may affect the safety,†
895,SIMUL,Simultaneous or simultaneously,
896,SIWL,Single isolated wheel load,
897,SKED,Schedule or scheduled,
898,SLP,Speed limiting point,
899,SLW,Slow,
900,SMC,Surface movement control,
901,SMR,Surface movement radar,
902,SN,Snow,
903,SNOCLO,Aerodrome closed due to snow (used in METAR/SPECI),
904,SNOWTAM,"Special series NOTAM notifying the presence or removal of hazardous conditions due to snow, ice, slush or standing water associated with snow, slush and ice on the movement area, by means of a specific format",†
905,SOC,Start of climb,
906,SPECI,Aerodrome special meteorological report (in meteorological code),†
907,SPECIAL,Local special meteorological report (in abbreviated plain language),†
908,SPI,Special position indicator,
909,SPL,Supplementary flight plan (message type designator),
910,SPOC,SAR point of contact,
911,SPOT,Spot wind,†
912,SQ,Squall,
913,SQL,Squall line,
914,SR,Sunrise,
915,SRA,Surveillance radar approach,
916,SRE,Surveillance radar element of precision approach radar system,
917,SRG,Short range,
918,SRR,Search and rescue region,
919,SRY,Secondary,
920,SS,Sandstorm,
921,SS,Sunset,
922,SSB,Single sideband,
923,SSE,South-south-east,
924,SSR,Secondary surveillance radar,‡
925,SST,Supersonic transport,
926,SSW,South-south-west,
927,ST,Stratus,
928,STA,Straight-in approach,
929,STAR,Standard instrument arrival,†
930,STD,Standard,
931,STF,Stratiform,
932,STN,Station,
933,STNR,Stationary,
934,STOL,Short take-off and landing,
935,STS,Status,
936,STWL,Stopway light(s),
937,SUBJ,Subject to,
938,SUN,Sunday,
939,SUP,Supplement (AIP Supplement),
940,SUPPS,Regional supplementary procedures,
941,SVC,Service (message type only),
942,SVCBL,Serviceable,
943,SW,South-west,
944,SWB,South-westbound,
945,SWY,Stopway,
946,T,Temperature,
947,. . . T,True (preceded by a bearing to indicate reference to True North),
948,TA,Traffic advisory,
949,TA,Transition altitude,
950,TAA,Terminal arrival altitude,
951,TACAN,UHF tactical air navigation aid,†
952,TAF,Aerodrome forecast (in meteorological code),†
953,TA/H,Turn at an altitude/height,
954,TAIL,Tail wind,†
955,TAR,Terminal area surveillance radar,
956,TAS,True airspeed,
957,TAX,Taxiing or taxi,
958,TC,Tropical cyclone,
959,TCAC,Tropical cyclone advisory centre,
960,TCAS RA,(to be pronounced “TEE-CAS-AR-AY”) Traffic alert and collision avoidance system resolution advisory,†
961,TCH,Threshold crossing height,
962,TCU,Towering cumulus,
963,TDO,Tornado,
964,TDZ,Touchdown zone,
965,TECR,Technical reason,
966,TEL,Telephone,
967,TEMPO,Temporary or temporarily,†
968,TF,Track to fix,
969,TFC,Traffic,
970,TGL,Touch-and-go landing,
971,TGS,Taxiing guidance system,
972,THR,Threshold,
973,THRU,Through,
974,THU,Thursday,
975,TIBA,Traffic information broadcast by aircraft,†
976,TIL,Until,†
977,TIP. . .,Until past (followed by place),
978,TKOF,Take-off,
979,TL . . .,Till (followed by time by which weather change is forecast to end),
980,TLOF,Touchdown and lift-off area,
981,TMA,Terminal control area,‡
982,TN . . .,Minimum temperature (followed by figures in TAF),
983,TNA,Turn altitude,
984,TNH,Turn height,
985,TO . . .,To (followed by place),
986,TOC,Top of climb,
987,TODA,Take-off distance available,
988,TODAH,"Take-off distance available, helicopter",
989,TOP,Cloud top,†
990,TORA,Take-off run available,
991,TOX,Toxic,
992,TP,Turning point,
993,TR,Track,
994,TRA,Temporary reserved airspace,
995,TRANS,Transmits or transmitter,
996,TREND,Trend forecast,†
997,TRG,Training,
998,TRL,Transition level,
999,TROP,Tropopause,
1000,TS,"Thunderstorm (in aerodrome reports and forecasts, TS used alone means thunder heard but no precipitation at the aerodrome)",
1001,TS . . .,"Thunderstorm (followed by RA = rain, SN = snow, PL = ice pellets, GR = hail, GS = small hail and/or snow pellets or combinations thereof, e.g. TSRASN = thunderstorm with rain and snow)",
1002,TSUNAMI,Tsunami (used in aerodrome warnings),†
1003,TT,Teletypewriter,
1004,TUE,Tuesday,
1005,TURB,Turbulence,
1006,T-VASIS,(to be pronounced “TEE-VASIS”) T visual approach slope indicator system,†
1007,TVOR,Terminal VOR,
1008,TWR,Aerodrome control tower or aerodrome control,
1009,TWY,Taxiway,
1010,TX . . .,Maximum temperature (followed by figures in TAF),
1011,TXL,Taxilane,
1012,TXT,"Text (when the abbreviation is used to request a repetition, the question mark (IMI) precedes the abbreviation, e.g. IMI TXT) (to be used in AFS as a procedure signal)",*
1013,TYP,Type of aircraft,
1014,TYPH,Typhoon,
1015,U,Upward (tendency in RVR during previous 10 minutes),
1016,UA,Unmanned aircraft,
1017,UAB,Until advised by . . .,
1018,UAC,Upper area control centre,
1019,UAR,Upper air route,
1020,UAS,Unmanned aircraft system,
1021,UDF,Ultra high frequency direction-finding station,
1022,UFN,Until further notice,
1023,UHDT,Unable higher due traffic,
1024,UHF,Ultra high frequency [300 to 3 000 MHz],‡
1025,UIC,Upper information centre,
1026,UIR,Upper flight information region,‡
1027,ULM,Ultra light motorized aircraft,
1028,ULR,Ultra long range,
1029,UNA,Unable,
1030,UNAP,Unable to approve,
1031,UNL,Unlimited,
1032,UNREL,Unreliable,
1033,UP,Unidentified precipitation (used in automated METAR/SPECI),
1034,U/S,Unserviceable,
1035,UTA,Upper control area,
1036,UTC,Coordinated Universal Time,‡
1037,. . . V . . .,"Variations from the mean wind direction (preceded and followed by figures in METAR/SPECI, e.g. 350V070)",
1038,VA,Heading to an altitude,
1039,VA,Volcanic ash,
1040,VAAC,Volcanic ash advisory centre,
1041,VAC . . .,Visual approach chart (followed by name/title),
1042,VAL,In valleys,
1043,VAN,Runway control van,
1044,VAR,Magnetic variation,
1045,VASIS,Visual approach slope indicator systems,
1046,VC . . .,"Vicinity of the aerodrome (followed by FG = fog, FC = funnel cloud, SH = shower, PO = dust/sand whirls, BLDU = blowing dust, BLSA = blowing sand, BLSN = blowing snow, DS = duststorm, SS = sandstorm, TS = thunderstorm or VA = volcanic ash, e.g. VCFG = vicinity fog)",
1047,VCY,Vicinity,
1048,VDF,Very high frequency direction-finding station,
1049,VER,Vertical,
1050,VFR,Visual flight rules,‡
1051,VHF,Very high frequency [30 to 300 MHz],‡
1052,VI,Heading to an intercept,
1053,VIP,Very important person,‡
1054,VIS,Visibility,
1055,VLF,Very low frequency [3 to 30 kHz],
1056,VLR,Very long range,
1057,VM,Heading to a manual termination,
1058,VMC,Visual meteorological conditions,‡
1059,VNAV,(to be pronounced “VEE-NAV”) Vertical navigation,†
1060,VOL . . .,"Volume (followed by I, II . . .)",
1061,VOLMET,Meteorological information for aircraft in flight,†
1062,VOR,VHF omnidirectional radio range,‡
1063,VORTAC,VOR and TACAN combination,†
1064,VOT,VOR airborne equipment test facility,
1065,VPA,Vertical path angle,
1066,VPT,Visual manoeuvre with prescribed track,
1067,VRB,Variable,
1068,VSA,By visual reference to the ground,
1069,VSP,Vertical speed,
1070,VTF,Vector to final,
1071,VTOL,Vertical take-off and landing,
1072,VV . . .,Vertical visibility (followed by figures in METAR/SPECI and TAF),
1073,W,West or western longitude,
1074,W,White,
1075,W . . .,Sea-surface temperature (followed by figures in METAR/SPECI),
1076,WAAS,Wide area augmentation system,†
1077,WAC. . .,World Aeronautical Chart — ICAO 1:1 000 000 (followed by name/title),
1078,WAFC,World area forecast centre,
1079,WB,Westbound,
1080,WBAR,Wing bar lights,
1081,WDI,Wind direction indicator,
1082,WDSPR,Widespread,
1083,WED,Wednesday,
1084,WEF,With effect from or effective from,
1085,WGS-84,World Geodetic System — 1984,
1086,WI,Within,
1087,WID,Width or wide,
1088,WIE,With immediate effect or effective immediately,
1089,WILCO,Will comply,†
1090,WIND,Wind,
1091,WIP,Work in progress,
1092,WKN,Weaken or weakening,
1093,WNW,West-north-west,
1094,WO,Without,
1095,WPT,Way-point,
1096,WRNG,Warning,
1097,WS,Wind shear,
1098,WSPD,Wind speed,
1099,WSW,West-south-west,
1100,WT,Weight,
1101,WTSPT,Waterspout,
1102,WWW,Worldwide web,
1103,WX,Weather,
1104,WXR,Weather radar,
1105,X,Cross,
1106,XBAR,Crossbar (of approach lighting system),
1107,XNG,Crossing,
1108,XS,Atmospherics,
1109,Y,Yellow,
1110,YCZ,Yellow caution zone (runway lighting),
1111,YES,Yes (affirmative) (to be used in AFS as a procedure signal),*
1112,YR,Your,
1113,Z,Coordinated Universal Time (in meteorological messages),
